jaccard_similarity,candidate_probability
0.6920000000000001,0.8224537463129827
0.6930000000000001,0.8260813152415516
0.6940000000000001,0.8296727717506511
0.6950000000000001,0.8332276513311958
0.6960000000000001,0.836745503504907
0.6970000000000001,0.8402258921507741
0.6980000000000001,0.84366839582284
0.6990000000000001,0.8470726080588556
0.7000000000000001,0.850438137679346
0.7010000000000001,0.8537646090766315
0.7020000000000001,0.8570516624933594
0.7030000000000001,0.8602989542901032
0.704,0.8635061572015905
0.705,0.8666729605811408
0.706,0.8697990706328809
0.707,0.872884210631337
0.708,0.8759281211280009
0.709,0.8789305601444787
0.71,0.8818913033518491
0.711,0.884810144235862
0.712,0.8876868942476314
0.713,0.8905213829394836
0.714,0.8933134580856414
0.715,0.8960629857874418
0.716,0.8987698505627958
0.717,0.901433955419627
0.718,0.904055221913038
0.719,0.9066335901859711
0.72,0.9091690189931587
0.721,0.9116614857081734
0.722,0.9141109863134121
0.723,0.9165175353728714
0.724,0.918881165987595
0.725,0.9212019297336985
0.726,0.9234798965829002
0.727,0.9257151548055146
0.728,0.9279078108558886
0.729,0.9300579892402888
0.73,0.9321658323672736
0.731,0.9342315003806143
0.732,0.9362551709748531
0.733,0.9382370391936155
0.734,0.9401773172108262
0.735,0.9420762340949991
0.736,0.9439340355568093
0.737,0.9457509836801744
0.738,0.9475273566371103
0.739,0.949263448386648
0.74,0.950959568358131
0.741,0.9526160411192396
0.742,0.9542332060291157
0.743,0.9558114168769928
0.744,0.9573510415067583
0.745,0.9588524614279078
0.746,0.9603160714133708
0.747,0.9617422790847225
0.748,0.9631315044853107
0.749,0.9644841796418573
0.75,0.9658007481151211
0.751,0.967081664540219
0.752,0.9683273941572399
0.753,0.9695384123327909
0.754,0.9707152040731496
0.755,0.9718582635297016
0.756,0.9729680934973686
0.757,0.9740452049067433
0.758,0.9750901163106653
0.759,0.9761033533659806
0.76,0.9770854483112449
0.761,0.9780369394411339
0.762,0.97895837057834
0.763,0.9798502905437347
0.764,0.9807132526255857
0.765,0.9815478140486181
0.766,0.9823545354437154
0.767,0.9831339803190491
0.768,0.9838867145334312
0.769,0.984613305772676
0.77,0.9853143230297524
0.771,0.9859903360895025
0.772,0.9866419150186932
0.773,0.9872696296621547
0.774,0.9878740491457492
0.775,0.988455741386898
0.776,0.9890152726133795
0.777,0.9895532068910923
0.778,0.9900701056614576
0.779,0.9905665272891159
0.78,0.9910430266205472
0.781,0.9915001545542227
0.782,0.9919384576228669
0.783,0.9923584775883859
0.784,0.9927607510499826
0.785,0.993145809065958
0.786,0.9935141767896576
