notice_id_a,notice_id_b,label,raw_words,cleaned_words,cleaned_3_shingles
N002685,N002686,same,0.6322701688555347,0.6308316430020284,0.49176954732510286
N000449,N010133,different,0.4400921658986175,0.43609022556390975,0.2678100263852243
N004683,N007002,different,0.3563579277864992,0.36115843270868825,0.18010963194988253
N010844,N011602,different,0.4337606837606838,0.44549763033175355,0.2812903225806452
N002440,N002443,same,0.40762463343108507,0.4383116883116883,0.3572778827977316
N001357,N003372,different,0.4669260700389105,0.48394004282655245,0.26962809917355374
N010856,N010857,same,0.7615894039735099,0.7780487804878049,0.7265415549597856
N005262,N005263,same,0.48372093023255813,0.4888888888888889,0.33251833740831294
N000070,N004969,different,0.6429780033840947,0.6796296296296296,0.5030146425495263
N003615,N009126,different,0.5913200723327305,0.6215686274509804,0.4487534626038781
N003236,N006862,different,0.3408408408408408,0.3441033925686591,0.1625544267053701
N001257,N005818,different,0.3471337579617834,0.3576388888888889,0.1839662447257384
N001027,N005073,different,0.40210526315789474,0.4110854503464203,0.2506053268765133
N002169,N011831,different,0.44871794871794873,0.47596153846153844,0.2883895131086142
N002691,N005271,different,0.38006756756756754,0.3844765342960289,0.179421768707483
N005141,N007639,different,0.42436974789915966,0.4408352668213457,0.2473246135552913
N000675,N005669,different,0.6128472222222222,0.6429942418426103,0.43859649122807015
N005337,N011060,different,0.29904761904761906,0.2961460446247465,0.12375249500998003
N001699,N004758,different,0.32575757575757575,0.3344262295081967,0.1744186046511628
N007012,N009759,different,0.35062611806797855,0.35260115606936415,0.17791970802919707
N004855,N004856,same,0.7454909819639278,0.7446351931330472,0.6245954692556634
N010491,N010492,same,0.7199248120300752,0.73,0.6862944162436548
N003270,N006319,different,0.35121951219512193,0.3591549295774648,0.15448504983388706
N003144,N011859,different,0.4907749077490775,0.5068762278978389,0.4001937984496124
N000889,N000890,same,0.7367424242424242,0.7287784679089027,0.6031746031746031
N001432,N001435,same,0.7674897119341564,0.782312925170068,0.7268292682926829
N008926,N010073,different,0.3773006134969325,0.38474295190713104,0.19015151515151515
N006903,N010093,different,0.3878504672897196,0.4033898305084746,0.21064996084573218
N000486,N000487,same,0.9795918367346939,0.9813432835820896,0.9745958429561201
N006198,N007366,different,0.34146341463414637,0.3592233009708738,0.19314938154138916
N004084,N004085,same,0.7631578947368421,0.7770419426048565,0.7063020214030915
N007902,N007976,different,0.6439267886855241,0.7012987012987013,0.5190641247833622
N002019,N002021,same,0.6513761467889908,0.6454183266932271,0.5029644268774703
N008725,N008728,same,0.7528735632183908,0.7422037422037422,0.634375
N001957,N001958,same,0.9814241486068112,0.9831081081081081,0.9786407766990292
N005497,N008336,different,0.31921824104234525,0.323943661971831,0.14871794871794872
N009301,N009302,same,0.9923076923076923,0.9915611814345991,0.9699248120300752
N008499,N008952,different,0.5653923541247485,0.5923423423423423,0.36271186440677966
N002300,N003674,different,0.36363636363636365,0.36724137931034484,0.18608414239482202
N009680,N011001,different,0.288107202680067,0.29443447037701975,0.1310344827586207
N005556,N006568,different,0.32112068965517243,0.31519274376417233,0.1386696730552424
N003574,N007121,different,0.4509466437177281,0.4796905222437137,0.27537593984962405
N004353,N004355,same,0.7084233261339092,0.6990740740740741,0.5842044134727061
N004438,N004442,same,0.8323699421965318,0.8557692307692307,0.8277777777777777
N004678,N004680,same,0.9093078758949881,0.9065656565656566,0.862796833773087
N000056,N009414,different,0.28836424957841483,0.29136690647482016,0.12352941176470589
N005365,N009764,different,0.5078125,0.5353982300884956,0.33406593406593404
N002248,N003503,different,0.40476190476190477,0.40897097625329815,0.27155172413793105
N010508,N010509,same,0.4156171284634761,0.43922651933701656,0.36349453978159124
N001817,N007306,different,0.3113496932515337,0.3211314475873544,0.15619967793880837
N003274,N007023,different,0.548885077186964,0.5652173913043478,0.40186915887850466
N005079,N005080,same,0.5043478260869565,0.5058548009367682,0.37122128174123337
N000591,N011538,different,0.3443163097199341,0.3540925266903915,0.17672047578589634
N009925,N010387,different,0.35575221238938054,0.36084452975047987,0.18552875695732837
N001053,N002186,different,0.5019607843137255,0.5422222222222223,0.31926406926406925
N008562,N009324,different,0.5771230502599654,0.6034816247582205,0.42995169082125606
N000250,N003051,different,0.3328173374613003,0.33889816360601,0.16987179487179488
N001525,N001678,different,0.5985663082437276,0.6208251473477406,0.43499511241446726
N008599,N008602,same,0.6546762589928058,0.6493506493506493,0.5187667560321716
N003942,N010918,different,0.45188284518828453,0.468384074941452,0.2708333333333333
N002513,N007637,different,0.5638841567291312,0.59375,0.4435763888888889
N009703,N009705,same,0.6447368421052632,0.6312849162011173,0.5167883211678832
N004315,N009584,different,0.516,0.5299334811529933,0.3971462544589774
N010620,N010621,same,0.9581151832460733,0.96,0.9395424836601307
N008248,N008249,same,0.506,0.5153508771929824,0.3859060402684564
N005222,N005225,same,0.5197841726618705,0.5163776493256262,0.3861003861003861
N002502,N002505,same,0.9616368286445013,0.9657142857142857,0.9373970345963756
N006200,N006201,same,0.4685714285714286,0.4947589098532495,0.40632054176072235
N000217,N002582,different,0.41272189349112426,0.4382207578253707,0.22692889561270801
N001207,N004094,different,0.49230769230769234,0.48404255319148937,0.29411764705882354
N005453,N010471,different,0.48975409836065575,0.5079726651480638,0.29717514124293787
N001063,N005024,different,0.5297619047619048,0.5582959641255605,0.3374028856825749
N000697,N005493,different,0.27816901408450706,0.2819047619047619,0.11687087653157399
N003555,N009272,different,0.28545454545454546,0.28735632183908044,0.12949640287769784
N005393,N007391,different,0.45054945054945056,0.4669926650366748,0.27305389221556886
N006121,N009928,different,0.6020761245674741,0.6305609284332688,0.4363807728557964
N004229,N006064,different,0.29233511586452765,0.2919847328244275,0.12605042016806722
N003265,N010005,different,0.4898989898989899,0.49214659685863876,0.3270440251572327
N007303,N007376,different,0.3368237347294939,0.3409090909090909,0.15284249767008387
N005512,N007327,different,0.5747126436781609,0.6117136659436009,0.38254310344827586
N009065,N011122,different,0.3194444444444444,0.3192389006342495,0.13897596656217345
N001376,N001377,same,0.5106796116504855,0.5245202558635395,0.42660550458715596
N000357,N000359,same,0.7692307692307693,0.782608695652174,0.7351778656126482
N008677,N011938,different,0.47835497835497837,0.5,0.32068543451652387
N002197,N002198,same,0.6502463054187192,0.6428571428571429,0.4807162534435262
N001905,N005873,different,0.5384615384615384,0.5434343434343434,0.4180952380952381
N007497,N007499,same,0.7520325203252033,0.7406593406593407,0.6275626423690205
N007334,N007335,same,0.9619565217391305,0.9635258358662614,0.9361344537815126
N002570,N005618,different,0.3265940902021773,0.33277310924369746,0.16470588235294117
N001074,N002707,different,0.3543913713405239,0.36470588235294116,0.17096018735362997
N003691,N004544,different,0.27472527472527475,0.2821011673151751,0.12172284644194757
N003415,N008452,different,0.5226860254083484,0.5386100386100386,0.4143897996357013
