notice_id_a,notice_id_b,label,exact,estimate,abs_error
N002439,N007343,different,0.3872832369942196,0.375,0.012283236994219626
N001488,N005914,different,0.2981366459627329,0.3125,0.014363354037267073
N001624,N006762,different,0.1620795107033639,0.1328125,0.029267010703363905
N004870,N006313,different,0.3470873786407767,0.37109375,0.02400637135922329
N011017,N011020,same,0.5726600985221675,0.58984375,0.017183651477832518
N002389,N002391,same,0.5873205741626795,0.625,0.037679425837320535
N000672,N002056,different,0.16422764227642275,0.1796875,0.015459857723577247
N003476,N004605,different,0.3217391304347826,0.3125,0.009239130434782583
N008022,N010492,different,0.44390243902439025,0.43359375,0.01030868902439025
N009775,N009854,different,0.11373976342129208,0.14453125,0.03079148657870792
N001443,N010092,different,0.3715686274509804,0.35546875,0.016099877450980404
N008152,N008153,same,0.9276485788113695,0.953125,0.02547642118863047
N004151,N009894,different,0.17708333333333334,0.17578125,0.0013020833333333426
N009151,N011771,different,0.4482758620689655,0.4765625,0.028286637931034475
N004672,N008166,different,0.5336091003102379,0.54296875,0.009359649689762106
N005081,N007027,different,0.2572314049586777,0.2578125,0.0005810950413223104
N002173,N008545,different,0.30491803278688523,0.3359375,0.03101946721311477
N003781,N003783,same,0.9063032367972743,0.8984375,0.007865736797274314
N002084,N007552,different,0.2904191616766467,0.28515625,0.00526291167664672
N004001,N004002,same,0.49265536723163844,0.4921875,0.00046786723163844135
N009163,N009439,different,0.27522935779816515,0.27734375,0.002114392201834847
N002426,N003338,different,0.1745776347546259,0.2109375,0.0363598652453741
N006423,N006425,same,0.946875,0.94140625,0.005468750000000022
N007876,N009829,different,0.5164011246485474,0.56640625,0.05000512535145263
N007687,N009311,different,0.46473029045643155,0.45703125,0.0076990404564315496
N001746,N002955,different,0.11854684512428298,0.11328125,0.005265595124282985
N008284,N008285,same,0.6017897091722595,0.578125,0.02366470917225949
N001309,N011869,different,0.14314928425357873,0.14453125,0.001381965746421271
N002589,N004081,different,0.16007194244604317,0.17578125,0.01570930755395683
N005300,N006349,different,0.4474835886214442,0.46875,0.021266411378555783
N009455,N009456,same,0.568,0.55859375,0.00940624999999995
N004081,N010560,different,0.1779513888888889,0.19921875,0.021267361111111105
N004306,N004307,same,0.9853300733496333,0.98828125,0.0029511766503667047
N000884,N011090,different,0.36682242990654207,0.3515625,0.015259929906542069
N000010,N003634,different,0.1722488038277512,0.1640625,0.008186303827751207
N002225,N011649,different,0.27532777115613827,0.28125,0.005922228843861732
N001484,N003224,different,0.13943161634103018,0.14453125,0.0050996336589698155
N008411,N008412,same,0.4017857142857143,0.390625,0.011160714285714302
N006804,N010502,different,0.2482893450635386,0.265625,0.017335654936461387
N009437,N010826,different,0.4002123142250531,0.34765625,0.0525560642250531
N000335,N007009,different,0.3504823151125402,0.3671875,0.016705184887459812
N002857,N005654,different,0.35443037974683544,0.31640625,0.038024129746835444
N000078,N007325,different,0.31329113924050633,0.36328125,0.04999011075949367
N000864,N005773,different,0.24300111982082867,0.2734375,0.03043638017917133
N007718,N008135,different,0.3734238603297769,0.390625,0.017201139670223076
N006976,N010778,different,0.4175170068027211,0.43359375,0.01607674319727892
N002774,N011414,different,0.2884371029224905,0.26953125,0.018905852922490474
N004762,N010111,different,0.4659090909090909,0.4453125,0.020596590909090884
N003908,N003909,same,0.2652370203160271,0.2890625,0.023825479683972917
N000664,N000666,same,0.4469798657718121,0.42578125,0.02119861577181209
N004323,N009954,different,0.25133689839572193,0.25390625,0.0025693516042780695
N010390,N011580,different,0.16892725030826142,0.17578125,0.006853999691738583
N004880,N004881,same,0.9090909090909091,0.94140625,0.03231534090909094
N000818,N006620,different,0.2089108910891089,0.26171875,0.0528078589108911
N001043,N002862,different,0.3488372093023256,0.3515625,0.0027252906976744096
N000640,N011658,different,0.20444104134762633,0.2109375,0.006496458652373666
N008018,N008676,different,0.12355212355212356,0.12890625,0.005354126447876445
N002685,N002686,same,0.49176954732510286,0.51953125,0.027761702674897137
N000449,N010133,different,0.2678100263852243,0.30859375,0.040783723614775724
N004683,N007002,different,0.18010963194988253,0.19140625,0.011296618050117474
N010844,N011602,different,0.2812903225806452,0.31640625,0.03511592741935482
N002440,N002443,same,0.3572778827977316,0.375,0.017722117202268406
N001357,N003372,different,0.26962809917355374,0.28515625,0.015528150826446263
N010856,N010857,same,0.7265415549597856,0.76171875,0.03517719504021444
N005262,N005263,same,0.33251833740831294,0.3359375,0.003419162591687064
N000070,N004969,different,0.5030146425495263,0.4609375,0.042077142549526325
N003615,N009126,different,0.4487534626038781,0.47265625,0.023902787396121894
N003236,N006862,different,0.1625544267053701,0.21484375,0.0522893232946299
N001257,N005818,different,0.1839662447257384,0.1875,0.003533755274261613
N001027,N005073,different,0.2506053268765133,0.25,0.0006053268765133235
N002169,N011831,different,0.2883895131086142,0.30078125,0.012391736891385785
N002691,N005271,different,0.179421768707483,0.18359375,0.004171981292517002
N005141,N007639,different,0.2473246135552913,0.29296875,0.04564413644470869
N000675,N005669,different,0.43859649122807015,0.46484375,0.02624725877192985
N005337,N011060,different,0.12375249500998003,0.13671875,0.012966254990019965
N001699,N004758,different,0.1744186046511628,0.18359375,0.009175145348837205
N007012,N009759,different,0.17791970802919707,0.171875,0.006044708029197071
N004855,N004856,same,0.6245954692556634,0.63671875,0.012123280744336551
N010491,N010492,same,0.6862944162436548,0.6796875,0.006606916243654837
N003270,N006319,different,0.15448504983388706,0.16796875,0.013483700166112944
